director_id,name
449660596,Susan Streitfeld
450839849,Mike Mitchell
451531052,Alan Cumming
452981004,Chris Ver Wiel
457353514,Andrés G. Schaer
459542791,Scott Cooper
460204349,Susanne Ofteringer
462178252,Aaron Norris
463645650,Jonathan Hensleigh
466699128,Chris Atkins
466880216,Adam Rifkin
466893715,Anthony DiBlasi
468787734,Mimi Leder
469056030,Massimo Troisi
469278128,Dale Launer
470436708,Wai Ka-Fai
471765779,Lewis Milestone
472591842,Chris Bailey
473538275,Lili Fini Zanuck
474413438,Marlon Brando
474517107,Joseph V. Mascelli
475487921,Anthony Harvey
478163021,Frank Borzage
478489781,Michael Katleman
478633624,Martin Ritt
479675982,Rajkumar Hirani
479743431,Deran Sarafian
480717952,Ron Howard
480934002,Asger Leth
482012523,King Vidor
482548982,Harry Hook
483581328,Jeff Burr
483996860,Park Chan-wook
484371559,Peter M. Cohen
489862444,Nicolas Philibert
489995116,Philip Haas
491167685,John Alan Schwartz
491340232,Jonathan Milott
493443864,Leos Carax
494178210,Jens Hoffmann
495014191,Kevin Bray
496151088,Henry Alex Rubin
496276617,W.S. Van Dyke
496320866,Albert Hughes
496654117,Jerusha Hess
496900558,Gary Nelson
497524587,John Tatoulis
498701007,Wayne Wang
498773677,Thomas Borch Nielsen
501583858,Finn Taylor
501998869,Jay Russell
503497740,Val Guest
503510329,Fred Zinnemann
505629540,Genndy Tartakovsky
505990017,Andrey Zvyagintsev
509571518,Floyd Mutrux
510705190,Roxanne Benjamin
513845424,Jason Reitman
514601521,Denys Arcand
515835378,Sarah Adina Smith
516224924,Richard Lester
519755562,Claude Chabrol
519933495,Éric Rohmer
521086221,Sacha Gervasi
521301391,Paul Miller
521368772,Richard Thorpe
522012648,Albert Pyun
523855797,James D. Parriott
524433162,Pierre Coffin
524939012,Marjane Satrapi
525174725,Rod Holcomb
525613958,Ate de Jong
526527819,Benny Chan Muk-Sing
527110755,Amy Heckerling
528150825,Frédéric Fonteyne
530214815,Fred Olen Ray
530320834,Atsuko Ishizuka
530572543,Lukas Moodysson
532065027,Anders Østergaard
533734591,Robert Towne
534352094,Byambasuren Davaa
535108249,Jordan Susman
536376821,Wang Xiaoshuai
536658224,Dany Boon
537341412,Ben Younger
537898037,Mark Moskowitz
538630618,Wolfgang Reitherman
543909689,Jane Anderson
545702224,Bille August
545861516,David Michôd
546877972,Gen Sekiguchi
548164047,Steve Gomer
549699095,Vincent Kok Tak-Chiu
552193559,Robert Z. Leonard
552928188,Patrick Read Johnson
555336295,Larry Blamire
555363005,Chuck Workman
555986636,Karel Reisz
556058051,Christoph Lauenstein
556247918,Emir Kusturica
556980685,Raúl García
557063622,Ernest Thompson
560964333,Cyril Collard
562069797,Ryan Fleck
563856006,Lucky McKee
565917715,Bradford May
567125504,Tom Dey
570484270,Steven Gomez
570570103,Lee Daniels
570813669,Charles Ferguson
571166920,Cody Cameron
572330730,Damián Szifron
572683455,Stevan Riley
572709276,Lamberto Bava
572802206,Cédric Klapisch
573221032,Tony Gilroy
573797254,David Yates
573878638,Courtney Solomon
574389169,Hugh Welchman
574765990,Seth Grossman
576779549,Greg Mottola
577971710,Andy Bichlbaum
580070041,Ken Scott
580747112,Fred M. Wilcox
581337451,Larysa Kondracki
581759683,Terry Gilliam
581984498,Alan Rudolph
582533543,Frank Coraci
582643161,Patty Jenkins
583489876,Scott Alexander
583931238,Thomas Langmann
586021325,D.J. Caruso
588032297,Jessica Yu
590819166,Richard Shepard
591228971,Matt Brown
592937771,Sam Wanamaker
596263378,John Cherry
597912000,Jonathan Kaplan
597953900,Dave Thomas
599015590,Joe Maggio
599467166,Ryan Little
600898448,Joe Dante
601252185,Alan Barillaro
602746770,James Bridges
603221681,Hans Horn
604502788,Jamie Uys
605866785,Kenny Ortega
606326472,Daniel Monzón
608996045,Hiroshi Teshigahara
609496807,Edward Ludwig
609799690,Jacques Tourneur
612333858,Trey Nelson
613364560,Tom Hanks
613922834,Jay Sandrich
614245196,Pedro Almodóvar
615686048,Jim Mallon
616270138,Zak Penn
618127145,Edwin L. Marin
620299263,Michael Showalter
620599670,Leander Haußmann
620670676,Jesse Lawrence
622095168,Lionel Coleman
623314361,Clive Donner
623822110,Frank Lloyd
624992337,William Lustig
625215763,John Gilling
625626804,Paco Cabezas
625678307,Marco Brambilla
626549991,Kevin Costner
628220671,Jessy Terrero
630280945,Jean-Jacques Annaud
631487215,Henry Hathaway
631722488,Bob Clark
635457183,David Kerr
636760785,Jay Karas
637185399,Sergio Martino
637421569,Joel Zwick
639254786,Aaron Seltzer
640889267,Bob Saget
641128383,Phil Alden Robinson
644152870,Jeff Lieberman
644202449,Peter Landesman
644459016,RZA
645336112,Ford Beebe
647035289,Andy Hurst
647198735,Judy Irving
647801956,William Keighley
648369373,Rupert Sanders
648803682,Hélène Cattet
649660126,Carroll Ballard
650200764,Norman Jewison
650547938,Coralie Trinh Thi
650709752,Larisa Shepitko
651227886,Jon Turteltaub
652366250,Danny Bilson
653145206,Bruno Bozzetto
653204088,Tomohiko Ito
655378707,Robbie Pickering
658999782,Steve Beck
659623836,James Komack
659680978,Gauri Shinde
661701555,Alan Arkin
665735289,Robert Meyer Burnett
667299192,Susan Seidelman
667412508,Eric Radomski
667615376,Jim Goddard
668867485,Gary Hustwit
668965953,Ken Kwapis
669687950,Céline Sciamma
670198155,Lang Elliott
670761175,Sara Taksler
673707761,Alberto De Martino
676698131,Ingmar Bergman
677077726,Nancy Walker
677621277,Ernest B. Schoedsack
678188440,Julianna Lavin
682581885,Wilfred Jackson
684191422,Bent Hamer
688720354,Conor McMahon
689645209,Gren Wells
690255874,Mel Gibson
691393911,Andrew Bergman
694632224,Nicole Kassell
695589289,Roel Reiné
697291723,Kenneth Branagh
698564248,Nora Ephron
698656594,Bradley King
700098085,Clare Kilner
700932686,Eric Valli
703384471,Ben Affleck
705213690,Frédéric Forestier
705490042,Tom Ropelewski
709557296,Rodrigo García
710601367,Hirokazu Kore-eda
712892009,David Hogan
713318607,Patrick Lussier
714002389,Michael Tuchner
716737342,Pen-Ek Ratanaruang
717832594,Bruce LaBruce
718584227,Adam Brooks
718946332,Robert Stevenson
718952408,Karel Kachyňa
719729947,Stephen Herek
719740959,Andreas Prochaska
720685977,Alex De Rakoff
721747819,Yann Samuell
722642009,Joe Swanberg
723456116,Lance Young
724013059,Shinji Higuchi
724494188,Angelina Jolie
724818554,Emilio Aragón
727110378,Duwayne Dunham
728401572,Chris Sivertson
728538822,Tim Miller
729908970,Catherine Hardwicke
730248179,Stephen Chbosky
730427459,Jim Kammerud
732163359,Chris Weitz
733334846,Phillip Borsos
733583258,Raman Hui Shing-Ngai
733780928,François Ruffin
734905660,Liev Schreiber
735900728,Tomas Alfredson
736912508,Glenn Gordon Caron
737094467,Mike Johnson
737195703,Jacob Aaron Estes
738511531,Kevin Williamson
741310921,Alain Berbérian
743425693,Armand Lohikoski
743572428,Michael Miller
744570220,Francis Veber
744603256,Ben O'Brien
744932308,Daniel Sackheim
746131940,André de Toth
748815662,Don Scardino
749274364,Louie Psihoyos
749420025,Phillip Rhee
750674707,Christian Ditter
750949729,Greg Berlanti
750987230,Anne Fletcher
751185905,Xavier Dolan
751486498,Bertrand Tavernier
752056382,Arthur Penn
758561294,Eric Darnell
759424139,Chris Williams
759476784,Lau Kar-Leung
760981198,Nigel Cole
761811785,Jonas Pate
763447690,Jordan Peele
763591327,William Asher
763734019,Pascal Laugier
765027679,Paul Wheeler
765550080,Irwin Winkler
766724883,Roger Avary
766834799,Agnès Varda
768229864,Greg Strause
768547543,Mark Palansky
769361457,Denis Villeneuve
769411712,Sandra Goldbacher
769631844,Niall MacCormick
771338601,John Cornell
771649537,Bruce Malmuth
772592893,Robert Flaherty
772967734,Liz W. Garcia
773357461,Roger Kumble
773763563,David Hand
775528928,Martin Scorsese
775820361,Paul W. S. Anderson
776100800,Victor Salva
776978901,Peter Wintonick
778442360,Paul Abascal
779437107,James L. Brooks
782643006,Peter Jackson
783305544,Steve Buscemi
783543578,Jennifer Westfeldt
785055635,Roman Polanski
785203899,Matty Rich
786139356,John Landis
786357298,Charlie McDowell
788278265,Andrew Neel
788922537,Omar Naim
789088206,Stefan Holtz
789197415,Brad Anderson
789543840,Roy Rowland
790185565,S. Craig Zahler
790374900,James Fargo
792930235,Julio Medem
794122092,Scott Ellis
799695544,Lawrence Jordan
800292122,Peter Lord
800475915,Christopher Morahan
801313092,Lucio Fulci
803081075,Gore Verbinski
804659265,Julien Rambaldi
804894915,Norman Taurog
806555270,Michael Walker
807874725,John Hillcoat
808291420,Edward D. Wood Jr.
808695530,Al Pacino
809412274,James B. Harris
809690685,Stephen St. Leger
809744757,G.W. Pabst
811061445,Joe Alves
811119685,Fouad Mikati
811370361,Clif Prowse
812181630,James Vanderbilt
812627445,Emile Ardolino
815528719,Fletcher Markle
816832754,Fernando León de Aranoa
818171657,Nicholas Jasenovec
819467353,Kenneth Johnson
819641833,James Glickenhaus
819890296,Nadav Schirman
820849762,David Soren
821097968,Drake Doremus
822046377,Sam Wood
825907497,Adam Bernstein
828811942,Paul Morrissey
829643664,Vladimir Studennikov
831087306,Courteney Cox
832293805,Joe Johnston
833962619,Richard W. Haines
835916333,François Truffaut
836836208,Dover Koshashvili
838065255,Tsai Ming-liang
838586060,Peter Medak
839053581,Peter Bonerz
839986075,Michael Haneke
840017591,Alexander Mackendrick
840557012,Eric Hannah
841787719,Kevin Macdonald
842391364,Mark Sandrich
844456244,Jim Wynorski
845653132,Laurence Olivier
845828110,Michael Bay
848460623,Jim Weedon
849552165,Tony Giglio
851297763,Ralph Ziman
