actor_id,name
80608237,Georges Siatidis
80623599,Joseph Wayne Miller
80652432,Chad McQueen
80840056,William Hudson
80886653,David Suchet
81129850,George Carney
81467165,Emma Roberts
81696437,Eva Amurri
81881003,Ansel Elgort
81985740,Corbin Allred
82208009,Emily Bergl
82232203,Tony Benatatos
82300889,Chulpan Khamatova
82552417,Jonathan Cherry
82593674,Maureen Teefy
82883273,Randy Hamilton
82954404,Leo Genn
83080812,Joanna Pacula
83217008,Bongkoj Khongmalai
83655172,Mehdi Nebbou
84085994,Carlo Verdone
84149055,Audrey Wasilewski
84199405,Luigi Lo Cascio
84207225,John Woodvine
84394550,Amrish Puri
84911173,Sally Yeh
85989561,Mikhail Yanshin
86464842,Mel Gorham
86618533,Michael Stahl-David
86780708,Hugh Griffith
87739729,Liu Yifei
87810618,Chieko Higashiyama
87910710,Rena Sofer
87946254,Fabrice Luchini
87965197,Samuel Joslin
88137650,John Speredakos
88277336,Armando De Razza
88562639,Monte Markham
88577975,James Frecheville
88976504,Rudy Bond
89499002,Liliana Mumy
89774607,Cecilia Cheung
89881481,Maurice Dean Wint
89956059,William Demarest
90019808,Troels Lyby
90229094,Lee Pace
90726862,Kevin Murphy
90871604,Peter Frechette
90945510,Georges Lopez
91217750,Jane Powell
91225657,Massimo Troisi
91504298,Héctor Alterio
92052640,Joanna Cassidy
92164655,Tamara Jenkins
92171592,Romeo
92417971,Adam Hann-Byrd
92710853,Berto Colon
93455564,Ian Charleson
93458591,Mariana Ximenes
93484177,Chaim Topol
93722670,Katsunosuke Hori
93856570,Glenn Shadix
94547201,Ben Schwartz
94799663,Laia Costa
95615512,Susan Lowe
95726738,John Howard
95754761,Estee Chandler
96304629,Emme Rylan
96421607,Steve Howey
96502358,Jack Rader
96557060,Ricci Harnett
96617831,Dylan Minnette
96716206,Deanna Oliver
96807574,Twink Caplan
97069343,Chris Gartin
97977937,Bernard Marbaix
98221633,Ken Olandt
98542668,Eiko Masuyama
99089722,Vernon Wells
99158190,Isa Crino
99208506,Gwen Eckhaus
99363314,Jason Priestley
99954920,Robert Flemyng
100404907,Virginia Madsen
100412600,Mariah Carey
100432685,Heather Graham
100436118,Claudie Blakley
100463976,Alan King
100768063,Ray Santiago
100858073,Alan Boyle
101370724,Josh Stewart
101482509,Giustino Durano
101540083,Jorge Ernesto Lanata
101658307,Johan Leysen
101800913,Joana Ribeiro
101841311,Eli Wallach
102034663,Nicky Henson
102558794,Ella Hunt
102826571,Céline Sallette
102840077,Yo-Landi Visser
102936068,Jean-Louis Blondeau
103066504,Dong Yong
103367971,Taryn Manning
103895946,Gabriele Ferzetti
104068254,Adrian Zmed
104113208,Janaya Stephens
104133208,Anu Vardhan
104527759,Shawn Barron
105119862,Michelle Coulter
105351136,L.C. Holt
105376376,Robert Smigel
105393124,Amanda Plummer
105519484,Kate Yeung
105752785,Glenn Morshower
106590507,Sumiko Sakamoto
106952784,Alex Briley
107014224,Randy Pearlstein
107139735,Maurice Compte
107413855,Alicia Witt
107598881,Florian David Fitz
107667132,Lev Durov
107721817,Malin Åkerman
108040757,Shin Kishida
108459882,Deniz Erkanat
108797766,Jeffrey Force
109278505,Hans Matheson
109463360,Jane Adong
109621870,Edoardo Pesce
109696890,James Dean
109823861,Yasuaki Kurata
110082250,Jing Tian
110131499,Alison Pill
110270145,Aminata Fall
110362149,James Thierrée
110825875,Daisuke Sakaguchi
111487616,Emani Sledge
111499856,Audie Murphy
111773123,Uxía Blanco
111965916,Allan Corduner
111991592,Ayako Fujitani
112155661,Michel Qissi
112317669,Barry Gordon
112401686,David Alpay
112691973,Fred J. Lincoln
113224307,Tuva Novotny
113522088,Judah Domke
113605849,Maurizio Mattioli
113706933,Charles Hubbell
113759771,Sam Levene
113805217,Anne Heche
113816687,Dakota Johnson
113950094,Julia Roberts
113985405,Dave Chappelle
114525750,Patrick Dewaere
114724639,Kōji Mitsui
114874193,Katie Lyons
115207490,Hank Harris
115371569,Joshua Greenblatt
115445368,Mia Serafino
115944165,James Williams
116532392,Masaya Katō
116802690,Phyllis Kirk
116842981,Laura Kirk
116962333,Chopper Bernet
117586579,Yauenkü Miguee
117629489,Kenny Baker
117668313,Kimberly Williams-Paisley
117931478,Ayumi Fujimura
118404615,Dave Goelz
118429578,Casper Van Dien
118516442,Viktor Sukhorukov
118532427,Curtis Armstrong
119024227,Rica Matsumoto
119149682,Shintarō Katsu
119390662,John C. Ojwang
119758738,Balkrishna Doshi
119986376,Daniel Henney
120171758,William R. Moses
120461243,Aron Hijar
120800897,Vilma Banky
120881946,Édouard Baer
120916030,Keeley Hawes
121024308,Nicole Rio
121209853,Duane Jones
121329921,Karl Rove
121375020,Pongpat Wachirabunjong
121435789,Bronson Pinchot
121468160,Liam James
121494189,Anthony Starke
121659435,Mike McCready
121666119,Caroline Hildebrand
121841174,John Dennis Johnston
122209351,Eisi Gulp
122213264,Ilene Graff
122323343,Liubomiras Laucevičius
122345703,Elmira Zherzdeva
122365164,Jeon Mi-seon
122392510,Bi Ke
122546647,Naomie Harris
122741138,Toshirō Mifune
122754108,Judah Lewis
122997401,Mark Killeen
123127942,Nick Nolte
123794243,Gabriel Macht
124267144,Marianne Jean-Baptiste
124624134,Jean Smart
125226114,Roberta Collins
125350057,Yoshino Kimura
125353807,Peter Bull
125676252,Evangelina Elizondo
125769177,Jehanne d'Alcy
125831119,Jackie Gayle
125927677,Rachel House
126038642,Marion Marshall
126210691,Emily Head
126577221,Brian Omally
126685389,Vicky Hynes
127090040,Claude Piéplu
127485570,Mark Hogancamp
127729743,Robert Miano
127982273,Isobel Elsom
128439905,Billie Mae Richards
128466684,William Jordan
128706758,James T. Kelley
129097389,Christopher Donahue
129101454,Arnold Lucy
129320732,Estelle Getty
129559186,Peyton List
129977146,LaToya Chisholm
130219341,Jerome Cowan
130416005,Ludmila Page
130449647,Nancy Lee Grahn
130493395,Jon Polito
130542965,Barbara Leigh-Hunt
130947029,Jin Goo
131085396,Nicholas Colasanto
131630256,Leo McKern
131635087,Kevin Van Hentenryck
131741335,Ronald Reagan
132109945,Bai Ling
132175267,Claudio Bigagli
132307887,Garrison Keillor
132880951,James Williamson
132939991,Susy Andersen
133304581,Ju Jin-mo
133463099,Will Ferrell
133592128,Brunhilde Pomsel
133798274,Darlan Cunha
134052539,Lee Richardson
134183037,John Huston
134330661,Danny Bonaduce
134435990,Darby Dougherty
134954326,Luc Roeg
135228492,Rodriguez
135541872,Sterling Holloway
136041022,Andy Serkis
136289752,Meisa Kuroki
136296758,Mark Bell
136647184,Yutaka Takenouchi
136708800,Ashraf Barhom
137006155,LisaGay Hamilton
137260988,Marceline Hugot
137263635,Robin Renucci
